"state","latitude","longitude","full_name"
AK,61.3850,-152.2683,Alaska
AL,32.7990,-86.8073,Alabama
AR,34.9513,-92.3809,Arkansas
AZ,33.7712,-111.3877,Arizona
CA,36.1700,-119.7462,California
CO,39.0646,-105.3272,Colorado
CT,41.5834,-72.7622,Connecticut
DE,39.3498,-75.5148,Delaware
FL,27.8333,-81.7170,Florida
GA,32.9866,-83.6487,Georgia
HI,21.1098,-157.5311,Hawaii
IA,42.0046,-93.2140,Idaho
ID,44.2394,-114.5103,Illinois
IL,40.3363,-89.0022,Indiana
IN,39.8647,-86.2604,Iowa
KS,38.5111,-96.8005,Kansas
KY,37.6690,-84.6514,Kentucky
LA,31.1801,-91.8749,Louisiana
MA,42.2373,-71.5314,Maine
MD,39.0724,-76.7902,Maryland
ME,44.6074,-69.3977,Massachusetts
MI,43.3504,-84.5603,Michigan
MN,45.7326,-93.9196,Minnesota
MO,38.4623,-92.3020,Mississippi
MS,32.7673,-89.6812,Missouri
MT,46.9048,-110.3261,Montana
NC,35.6411,-79.8431,Nebraska
ND,47.5362,-99.7930,Nevada
NE,41.1289,-98.2883,New Hampshire
NH,43.4108,-71.5653,New Jersey
NJ,40.3140,-74.5089,New Mexico
NM,34.8375,-106.2371,New York
NV,38.4199,-117.1219,North Carolina
NY,42.1497,-74.9384,North Dakota
OH,40.3736,-82.7755,Ohio
OK,35.5376,-96.9247,Oklahoma
OR,44.5672,-122.1269,Oregon
PA,40.5773,-77.2640,Pennsylvania
RI,41.6772,-71.5101,Rhode Island
SC,33.8191,-80.9066,South Carolina
SD,44.2853,-99.4632,South Dakota
TN,35.7449,-86.7489,Tennessee
TX,31.1060,-97.6475,Texas
UT,40.1135,-111.8535,Utah
VA,37.7680,-78.2057,Vermont
VT,44.0407,-72.7093,Virginia
WA,47.3917,-121.5708,Washington
WI,44.2563,-89.6385,West Virginia
WV,38.4680,-80.9696,Wisconsin
WY,42.7475,-107.2085,Wyoming
